,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
102,Tunisia,Middle East and Northern Africa,3447.5079100000003,2.82,79.49000000000001,47.41,57.6,4.592
103,Albania,Central and Eastern Europe,5268.848504,1.64,75.77,75.37,66.56,4.586
104,Sierra Leone,Sub-Saharan Africa,533.9911843,0.19,53.095,68.63,2.5,4.571000000000001
105,Congo (Brazzaville),Sub-Saharan Africa,2147.769461,1.31,35.31,91.0,10.26,4.559
106,Bangladesh,Southern Asia,1698.262802,0.56,22.169999999999998,53.58,28.47,4.5
107,Sri Lanka,Southern Asia,4102.48135,1.14,60.81999999999999,80.38,53.09,4.471
108,Iraq,Middle East and Northern Africa,5834.166211,4.78,54.62,28.39,41.05,4.456
109,Mali,Sub-Saharan Africa,899.6599081,0.06,58.22,61.6,2.69,4.447
110,Namibia,Sub-Saharan Africa,5931.453886,1.74,53.760000000000005,95.75,15.5,4.441
111,Cambodia,Southeastern Asia,1510.324871,0.67,39.715,80.53,35.26,4.433
112,Burkina Faso,Sub-Saharan Africa,715.122904,0.19,45.16,85.54,8.45,4.4239999999999995
113,Egypt,Middle East and Northern Africa,2549.132252,2.52,68.215,62.39,32.78,4.419
114,Mozambique,Sub-Saharan Africa,498.95722019999994,0.32,54.94,90.47,16.18,4.417
115,Kenya,Sub-Saharan Africa,1710.5100969999999,0.41,45.985,79.01,0.63,4.41
116,Zambia,Sub-Saharan Africa,1539.900158,0.29,59.375,98.75,9.08,4.377
117,Mauritania,Sub-Saharan Africa,1188.8345880000002,0.71,49.405,31.65,14.67,4.356
118,Ethiopia,Sub-Saharan Africa,772.3135302999999,0.16,40.735,78.99,9.35,4.35
119,Georgia,Central and Eastern Europe,4717.143026,2.79,51.739999999999995,62.33,59.93,4.34
120,Armenia,Central and Eastern Europe,4212.070943,1.97,60.24,79.57,61.94,4.321000000000001
121,Myanmar,Southeastern Asia,1325.952924,0.61,56.36,42.74,31.76,4.308
122,Chad,Sub-Saharan Africa,728.3432353999999,0.05,69.695,72.22,0.32,4.301
123,Congo (Kinshasa),Sub-Saharan Africa,561.7771824,0.03,31.365,67.79,10.01,4.245
124,India,Southern Asia,2009.978857,1.94,21.62,49.13,15.8,4.19
125,Niger,Sub-Saharan Africa,413.980305,0.1,46.165,85.74,2.44,4.166
126,Uganda,Sub-Saharan Africa,642.7767443,0.12,49.980000000000004,89.54,13.1,4.1610000000000005
127,Benin,Sub-Saharan Africa,901.5438712000001,0.66,37.855,75.08,6.37,4.141
128,Sudan,Sub-Saharan Africa,977.2736357000001,0.39,56.42,40.13,24.46,4.138999999999999
129,Ukraine,Central and Eastern Europe,3095.173581,4.47,52.19499999999999,49.1,60.89,4.103
130,Togo,Sub-Saharan Africa,679.2570836,0.37,49.76,68.43,12.92,3.9989999999999997
131,Guinea,Sub-Saharan Africa,878.5996133,0.23,46.185,83.29,12.79,3.964
132,Lesotho,Sub-Saharan Africa,1299.153126,0.32,50.22,17.43,2.86,3.8080000000000003
133,Angola,Sub-Saharan Africa,3432.3857359999997,0.98,51.29,39.19,9.2,3.795
134,Madagascar,Sub-Saharan Africa,527.5012849999999,0.17,51.125,43.17,4.04,3.7739999999999996
135,Zimbabwe,Sub-Saharan Africa,2146.9963850000004,0.77,30.865000000000002,94.53,12.19,3.6919999999999997
136,Afghanistan,Southern Asia,520.8966027,0.29,68.055,13.44,25.75,3.6319999999999997
137,Botswana,Sub-Saharan Africa,8258.641666,3.19,42.894999999999996,98.31,21.8,3.59
138,Malawi,Sub-Saharan Africa,389.3980332,0.09,53.15,91.89,8.28,3.5869999999999997
139,Haiti,Latin America and Caribbean,868.3420247000001,0.33,41.485,14.39,15.45,3.582
140,Liberia,Sub-Saharan Africa,677.3221785000001,0.26,38.99,34.35,4.79,3.495
141,Rwanda,Sub-Saharan Africa,772.9444599,0.09,53.155,63.24,14.96,3.408
142,Tanzania,Sub-Saharan Africa,1060.994615,0.23,55.655,95.03,11.8,3.303
143,Central African Republic,Sub-Saharan Africa,475.7212505,0.1,41.620000000000005,89.6,0.001,3.083
144,Burundi,Sub-Saharan Africa,271.7520444,0.03,37.55,53.67,0.86,2.905
