,Country,Region,Happiness Score
140,Lesotho,Sub-Saharan Africa,3.8080000000000003
141,Angola,Sub-Saharan Africa,3.795
142,Madagascar,Sub-Saharan Africa,3.7739999999999996
143,Zimbabwe,Sub-Saharan Africa,3.6919999999999997
144,Afghanistan,Southern Asia,3.6319999999999997
145,Botswana,Sub-Saharan Africa,3.59
146,Malawi,Sub-Saharan Africa,3.5869999999999997
147,Haiti,Latin America and Caribbean,3.582
148,Liberia,Sub-Saharan Africa,3.495
149,Syria,Middle East and Northern Africa,3.4619999999999997
150,Rwanda,Sub-Saharan Africa,3.408
151,Yemen,Middle East and Northern Africa,3.355
152,Tanzania,Sub-Saharan Africa,3.303
153,South Sudan,Sub-Saharan Africa,3.2539999999999996
154,Central African Republic,Sub-Saharan Africa,3.083
155,Burundi,Sub-Saharan Africa,2.905
