,Country,Region,GDP per Capita,CO2 per Capita,Air Quality,Biodiversity,Water Sanitation,Happiness Score
136,Yemen,Middle East and Northern Africa,1139.870568,0.41,76.65,47.95,42.71,3.7239999999999998
137,Madagascar,Sub-Saharan Africa,475.95536560000005,0.16,71.53,64.68,22.07,3.695
138,Tanzania,Sub-Saharan Africa,966.4746223999999,0.22,70.85,94.34,37.38,3.6660000000000004
139,Liberia,Sub-Saharan Africa,714.6233922,0.23,67.23,49.67,40.82,3.622
140,Guinea,Sub-Saharan Africa,732.9621726,0.21,65.56,86.95,42.58,3.6069999999999998
141,Rwanda,Sub-Saharan Africa,726.3479745,0.09,56.24,71.26,58.0,3.515
142,Benin,Sub-Saharan Africa,789.0849152000001,0.6,64.66,77.29,41.07,3.484
143,Afghanistan,Southern Asia,547.2281102000001,0.29,70.74,21.25,39.2,3.36
144,Togo,Sub-Saharan Africa,597.0654589,0.34,65.84,71.34,31.4,3.303
145,Burundi,Sub-Saharan Africa,282.1931304,0.03,55.48,64.71,40.62,2.905
